PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
46.9955	0	1.74639E-10	0	0.00172417	0.000921285
47.0133	0	0.000552681	0.00369208	0.00572246	0.00337546
48	5.56309E-05	6.6334E-11	0	0.00475417	0.00238334
49.0033	1.70135E-06	2.99242E-06	0	0.000209307	0.000104787
49.0078	0.000664556	4.60275E-11	0.00171791	0.000536656	0.00131231
49.0289	1.95089E-05	1.94975E-05	8.31037E-05	0.000237753	9.03153E-05
50.0112	2.44012E-05	6.24024E-05	7.17107E-05	1.39063E-05	5.36534E-05
50.0157	0.00401736	0.00851235	0.0081656	0.00365833	0.00635079
51.019	0.000170801	0.000409099	0.000351821	0.000151581	0.000272908
51.0235	0.00620013	0.0126328	0.0113693	0.00509457	0.00751273
51.9949	7.89129E-05	0.000041651	0.000277528	0.000560842	0.000276251
52.0187	0.000199657	0.000815191	0.000441045	0.00131289	0.000202552
52.0268	0.000261989	0.000636884	0.000488176	0.000206751	0.000320449
52.0313	0.00325545	0.00631077	0.00701664	0.00199219	0.00458502
53.0027	0.000812938	0.00122058	0.00451042	0.00417753	0.00362459
53.0347	0.000137246	0.000326791	0.000301536	7.77476E-05	0.000195576
53.0391	0.00939333	0.0142837	0.00904934	0.00773027	0.00727419
54.0061	2.16016E-05	8.56543E-05	0.000145409	0.000128119	0.000116053
54.0106	0.000571084	0.00166804	0.00376621	0.00339986	0.00379941
54.0425	0.000396951	0.000759621	0.000385267	3.13E-04	0.000307921
54.047	0.00788445	0.00994204	0.00412941	0.00260447	0.0029318
55.0139	1.92156E-05	2.72466E-05	0.000124741	0.000114627	0.000125746
55.0184	0.0074282	0.0237996	0.0183847	0.0184099	0.0134025
55.0503	0.000329704	0.00068725	0.000168183	7.33383E-05	0.000114175
55.0548	0.0667803	0.0353133	0.0146852	0.0152049	0.0119335
55.9898	0	0.00047389	0.00021379	0.000967868	0.00045338
56.0217	2.35E-04	0.00100542	0.000584092	0.000565009	0.000421037
56.0262	0.0017026	0.00568964	7.55E-03	0.00418175	0.00358539
56.05	0.000288071	3.89686E-11	0.00114568	0.00298568	5.22876E-05
56.0581	0.00286231	0.00190535	0.000618166	0.000598712	0.000503181
56.0626	0.0171189	0.00842994	0.00358431	0.00183443	0.00311768
57.0296	5.86122E-05	0.000152313	0.000246189	0.000140578	0.000117825
57.034	0.00300244	0.0108547	0.0158874	0.0136543	0.00587899
