PMF_m/z	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
152.12	2.68763E-05	0.000179492	5.75107E-05	5.09637E-05	0
152.156	0.000153073	7.10419E-05	1.53869E-05	4.11863E-05	9.99856E-06
153.019	0	5.05208E-05	0.000273411	4.14681E-05	0.000050198
153.055	0.000024434	0.000579186	0.000366149	0.000632019	0
153.07	0.000298114	0.000124497	0.000377645	0	0
153.092	0.000406431	0.000894778	4.4566E-06	0.000448576	0.000294473
153.164	0.000229484	0.00013664	0	8.71891E-05	4.12873E-05
154.027	0	3.70903E-05	0.000208988	7.50752E-05	0.000059297
154.063	2.35311E-06	0.000507433	0.000278334	0.000344183	0
154.078	0.00017154	5.14652E-05	0.000165115	0	0
154.099	0.000170841	0.000383598	7.97182E-05	0.000199579	4.64099E-05
154.172	9.77199E-05	5.81791E-05	8.09228E-06	2.99659E-05	0.000015474
155.034	7.95673E-06	0.000372153	0.000479808	0.000310128	5.37109E-05
155.071	0	5.5755E-06	4.73244E-05	0	6.76922E-06
155.086	0.00101683	0.00128977	0.000187077	0.000405966	0.00041018
155.18	0.00024432	0.000120515	0	6.76103E-05	3.66612E-05
156.042	6.48067E-05	0.000179152	0.000257743	0.000168652	5.85963E-05
156.079	0	6.30162E-05	0.000227437	3.97964E-05	0
156.094	0.000533365	0.000564631	9.04687E-05	0.000119505	0.000166022
156.188	4.96132E-05	3.85084E-05	0	2.06378E-05	3.60125E-06
156.977	0	1.56207E-06	2.53831E-05	0	0
157.05	0.000131453	4.27016E-05	0.000262726	0.000359316	0
157.065	0	0.00024129	0.000197052	0	0
157.087	0	3.8872E-07	3.56134E-06	0	6.85982E-06
157.102	0.00106162	0.000958784	0.000245257	0.000257902	0.000183401
158.037	2.49009E-05	5.19978E-05	0.000200804	0.000140002	1.69636E-05
158.073	0.000210948	0.000523868	0.000359846	9.90302E-05	0.000132085
158.109	0.000472427	0.000458318	0.000177572	2.81438E-05	0.000123996
159.045	0	2.21224E-05	0.000222325	8.79362E-05	3.67683E-05
159.066	0.00015003	0.000627385	0.000307969	0.000265794	5.42805E-05
159.102	0	1.54325E-05	0.000441698	0	0
159.117	0.00114473	0.000793018	0	0.000222433	0.000139062
160.016	1.55248E-05	1.02171E-06	0.000119712	2.79292E-05	1.76864E-05
160.052	7.59747E-05	0.000232232	0.000325328	0.000228821	0
160.074	3.24513E-05	0.000125933	0	1.32641E-05	5.98957E-06
160.089	0	7.40855E-05	0.000274952	1.79783E-06	0
160.11	2.88916E-06	8.11827E-06	1.02793E-05	0	0.000013663
160.125	0.000273811	0.000247617	4.12673E-05	7.68702E-05	4.05765E-06
161.024	8.98533E-07	1.27512E-05	0.000249719	6.50451E-05	6.89726E-06
161.039	6.49115E-06	9.91951E-07	4.56776E-06	3.81237E-06	4.45438E-06
161.06	0.000268833	0.000851579	0.0002517	0.00033237	0.000047435
161.097	0.000126794	0.000461895	0.000424039	0.000100213	0.000121473
161.133	0.000817103	0.000514722	2.94972E-05	0.000152778	0.000147862
162.032	0	2.84224E-05	0.000284057	0.000077885	4.53037E-05
162.047	0	0.000141329	6.16939E-06	5.33092E-05	0
162.068	0.00	0.00	0.00	0	0
162.105	4.36332E-05	1.56364E-05	0.000219403	0	0
162.141	0.00022259	0.00016587	1.68917E-05	5.27607E-05	0.000036477
163.04	0.000143635	0.000190461	0.000357094	0.00033921	0.000135879
163.076	0.000329431	0.000707612	9.36023E-05	0.00026419	0.000216137
163.112	0	0.000105733	0.000287899	0.000121069	0
163.149	0.00063844	0.000264885	0	0.000131889	7.72027E-05
164.011	6.09887E-06	5.44899E-06	0.000110657	0.000023592	4.53738E-05
164.047	0	0.000118824	0.000300225	0.000182371	0
164.063	9.10505E-05	0.000196833	9.80096E-05	0	0
164.084	9.24253E-05	0.000445574	0.000262255	6.51654E-05	7.12982E-06
164.12	1.53133E-06	0.000137266	8.94122E-05	5.34185E-05	5.82789E-06
164.156	0.000144642	6.58197E-05	0	0.000028937	1.44979E-05
165.019	9.85221E-05	6.13361E-05	0.000324438	0.000223937	8.00508E-05
165.07	0.000682427	0.001627042	0.000761553	0.000382671	0.000142386
165.092	0.000593295	0.000815311	0.000091074	0	0.000153408
165.128	0	0.00018913	0.000163194	0.000142178	0
165.164	0.000337293	8.8176E-05	0	5.34276E-05	0
166.027	4.60435E-05	5.09746E-05	0.000345648	0.000154402	2.80097E-05
166.078	0.000473914	0.001105666	0.000327179	0.000203911	0.000226218
166.172	0.000121237	0.000130405	0	4.64942E-05	2.77614E-05
167.034	0	5.38885E-05	0.000382548	0.000115373	0.000072069
167.071	0	0.001641384	0	2.26163E-05	0
167.086	3.12501E-05	2.18583E-05	0.000136681	0	0
167.107	0.000352457	0.000811302	0	0.000195848	0.000105686
168.042	7.79301E-05	0.000403719	0.00032944	0.000130977	4.26548E-05
168.094	0.000365956	0.001101337	0.00025236	0	0.000158484
168.188	7.18204E-05	5.47868E-05	0	2.26263E-05	1.17979E-05
168.993	4.85198E-06	0	5.15466E-05	0	2.38001E-05
169.05	6.79125E-05	0.000428208	0.000298434	0.000251805	7.91608E-05
169.102	0.000717575	0.000781793	0	0.000243532	0.000164651
169.196	0.000156245	7.56614E-05	0	4.21299E-05	1.41425E-05
170.073	0.000090823	0.000406125	0.000289129	0.000246249	9.42894E-05
170.109	0.000272344	0.000318026	0.000113138	0	5.61676E-05
170.203	3.10376E-05	2.96323E-05	0	1.56899E-05	1.85013E-06
171.066	0.000189967	0.0005622	0.00030997	0.000318782	0.000126218
171.102	0	1.68018E-06	1.29747E-05	0	0
171.117	0.000640395	0.000661117	0.000101462	0.000158052	0.000126178
172.074	0.000152783	0.000400315	0.000280985	0.000316285	6.72648E-05
172.089	7.31024E-06	1.69343E-06	1.03944E-05	0	0
172.125	0.000200951	0.000282907	0.000122853	2.75662E-05	0.000048361
173.024	2.84376E-05	3.51178E-06	0.000239794	0.000107451	1.61527E-05
173.06	0.000211367	0.000483455	0.000119272	0.000245116	8.54837E-05
173.097	0	0.000321337	0.000404869	8.92137E-05	0
173.133	0.000568822	0.000463415	0	0.000118692	0.000103854
174.032	7.73026E-05	2.10354E-05	0.000284847	0.000161472	2.40504E-05
174.068	0.00016691	0.000488689	0.000145845	0.000170297	4.54578E-05
174.105	1.50858E-05	0.000224632	0.000221464	2.65744E-05	0
174.141	0.000147486	0.000140836	2.70169E-05	0.000050028	9.36477E-06
175.04	0.000110183	0.000120246	0.00034815	0.000301223	9.24253E-05
175.076	0.000345444	0.000668925	0.000123954	0.000178339	5.41053E-05
175.112	0	0.000129975	0.000293141	9.27757E-05	0
175.149	0.000420259	0.000327875	2.37172E-06	9.45406E-05	6.19429E-05
176.047	7.74433E-05	0.000190975	0.000380566	0.000213909	1.46371E-05
176.063	8.60422E-06	4.98349E-06	0	0	3.85503E-07
176.08	0.000270588	0.000810177	0.0001943	0.000167649	0.00010037
176.156	0.000130465	0.000172149	2.10639E-05	5.68211E-05	4.18619E-05
176.983	2.6977E-06	2.00246E-06	1.49757E-05	0	3.94212E-06
177.019	2.71756E-05	1.33211E-05	1.18361E-05	0.000140784	0.000068416
177.055	7.50049E-06	0.000391795	0.000431533	0.000130756	0
177.07	0	2.50361E-06	2.95873E-06	0	2.10381E-07
177.092	0.000316791	0.000717743	5.06351E-06	0.000271159	0.000156502
178.027	0	0	0.00023194	2.33724E-05	2.08619E-05
178.078	0.000626677	0.001293513	0.000307019	0.00018216	0.000226899
179.034	0	6.321E-05	0.000332312	0.000165483	3.71197E-05
179.086	0.000617239	0.001175129	0.000228658	0.000223165	0.000248232
180.094	0.000358523	0.000893305	0.000225947	0.000162064	0.000144859
181.087	0.000183232	0.00183298	0.000318484	0.000165523	0.000122044
181.102	0.000179461	2.27951E-05	0	0	0
