PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
19/06/2012 0:10	19/06/2012 0:28	0.800613489	4.446725834	4.170747343
19/06/2012 0:28	19/06/2012 0:47	0.657494428	3.725938711	4.89120375
19/06/2012 0:47	19/06/2012 1:06	0.610623273	4.392125017	4.374782821
19/06/2012 1:06	19/06/2012 1:24	0.436472252	4.012744007	4.614870407
19/06/2012 1:24	19/06/2012 1:43	0.361926916	4.166523384	4.292818589
19/06/2012 1:43	19/06/2012 2:02	0.370937285	4.783061598	3.873569118
19/06/2012 2:02	19/06/2012 2:20	0.412182237	4.226408021	4.195891964
19/06/2012 2:20	19/06/2012 2:39	0.336865899	4.151789961	4.514356363
19/06/2012 2:39	19/06/2012 2:58	0.247218686	4.259438242	4.338594183
19/06/2012 2:58	19/06/2012 3:16	0.27719904	4.279245552	4.181055409
19/06/2012 3:16	19/06/2012 3:35	0.504140125	2.793809617	5.601263591
19/06/2012 3:35	19/06/2012 3:54	0.347482091	4.233813018	4.349331558
19/06/2012 3:54	19/06/2012 4:12	0.384058498	3.429518446	5.0464555
19/06/2012 4:12	19/06/2012 4:31	0.393831476	4.018268463	4.526755616
19/06/2012 4:31	19/06/2012 4:50	0.372124356	4.130949237	4.419015296
19/06/2012 4:50	19/06/2012 5:08	0.682043769	3.868426419	4.379130035
19/06/2012 5:08	19/06/2012 5:27	0.536518473	3.431150919	4.634050608
19/06/2012 5:27	19/06/2012 5:46	0.399400688	3.897228103	4.688458098
19/06/2012 5:46	19/06/2012 6:04	0.567092539	4.148100248	4.480529435
19/06/2012 6:04	19/06/2012 6:23	0.573370491	3.535724543	5.043016078
19/06/2012 6:23	19/06/2012 6:42	0.713032179	2.788927883	6.061019938
19/06/2012 6:42	19/06/2012 7:00	0.439551158	4.176888513	5.008602551
19/06/2012 7:00	19/06/2012 7:19	0.532550292	3.487895971	5.665360404
19/06/2012 7:19	19/06/2012 7:38	0.840705593	3.627688156	5.278943584
19/06/2012 7:38	19/06/2012 7:56	0.9008297	4.455948538	4.34967065
19/06/2012 7:56	19/06/2012 8:15	0.302223223	4.871759445	4.604346221
19/06/2012 8:15	19/06/2012 8:34	0.37771343	4.602403152	4.735983418
19/06/2012 8:34	19/06/2012 8:52	0.469914952	4.495176549	5.161464055
19/06/2012 8:52	19/06/2012 9:11	0.671737614	4.966854848	4.899251982
19/06/2012 9:11	19/06/2012 9:30	0.642440176	5.015866406	5.027953418
19/06/2012 9:30	19/06/2012 9:48	0.78347004	5.179289082	4.836456434
19/06/2012 9:48	19/06/2012 10:07	0.693313602	4.10744349	6.495282909
19/06/2012 10:07	19/06/2012 10:26	0.617789027	6.00210035	4.811492845
19/06/2012 10:26	19/06/2012 10:44	0.610287958	6.67761995	4.827747648
19/06/2012 10:44	19/06/2012 11:03	0.779235739	5.2926006	6.15139255
19/06/2012 11:03	19/06/2012 11:22	0.451309284	6.265232612	6.017251437
19/06/2012 11:22	19/06/2012 11:40	0.423175568	6.448715556	5.192808876
19/06/2012 11:40	19/06/2012 11:59	1.032816003	6.936502354	4.565219421
19/06/2012 11:59	19/06/2012 12:18	0.40282103	7.29061924	4.816308619
19/06/2012 12:18	19/06/2012 12:36	0.545864197	7.363559356	5.211320892
19/06/2012 12:36	19/06/2012 12:55	0.41615363	8.127083095	4.398947719
19/06/2012 12:55	19/06/2012 13:14	0.257460246	7.980446029	4.610500392
19/06/2012 13:14	19/06/2012 13:32	0.4359587	6.894687269	5.561589587
19/06/2012 13:32	19/06/2012 13:51	0.296334587	8.157723101	3.796929201
19/06/2012 13:51	19/06/2012 14:10	0.489957959	6.964172197	4.733023399
19/06/2012 14:10	19/06/2012 14:28	0.267936558	7.064636806	4.331837748
