PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
23/10/2012 5:38	23/10/2012 5:42	0.720647073	0.182592462	1.047149462	0.668745594	1.708638338
23/10/2012 5:42	23/10/2012 5:47	0.748822989	0.238887672	0.992115468	0.67165335	1.803257582
23/10/2012 5:47	23/10/2012 5:52	0.677640703	0.19079705	0.968302803	0.609716232	1.844714403
23/10/2012 5:52	23/10/2012 5:56	0.572680165	0.131744445	0.963967011	0.68345888	1.831992199
23/10/2012 5:56	23/10/2012 6:01	0.478526778	0.237292447	0.959869716	0.666800064	1.715604863
23/10/2012 6:01	23/10/2012 6:22	0.575740756	0	0.223996008	0.663403945	2.533749641
23/10/2012 6:22	23/10/2012 6:27	0.756902019	0.153672997	0.928058249	0.624948968	2.020266822
23/10/2012 6:27	23/10/2012 6:31	0.692080369	0.104805872	1.165352732	0.718916813	1.872571233
23/10/2012 6:31	23/10/2012 6:36	0.743133631	0.157854796	1.026675247	0.712890439	2.030538382
23/10/2012 6:36	23/10/2012 6:41	0.621906988	0.088741347	1.09303706	0.708416633	2.060114125
23/10/2012 6:41	23/10/2012 6:45	0.539355399	0.077132833	1.173186835	0.736253196	1.992452735
23/10/2012 6:45	23/10/2012 6:50	0.569151224	0.102958228	1.15733783	0.826756883	2.025832312
23/10/2012 6:50	23/10/2012 6:55	0.427559277	0.234316769	1.139134072	0.824438243	2.067540672
23/10/2012 6:55	23/10/2012 6:59	0.400253105	0.423019869	1.110166153	0.902472769	2.006485595
23/10/2012 6:59	23/10/2012 7:04	0.374517097	0.189351013	1.019049225	0.882868692	2.164548915
23/10/2012 7:04	23/10/2012 7:09	0.372445336	0.209425565	1.093645585	0.935785834	1.9687419
23/10/2012 7:09	23/10/2012 7:13	0.467716016	0.134411504	1.128165014	0.839261321	2.066252903
23/10/2012 7:13	23/10/2012 7:18	0.609548287	0.085315942	1.154995882	0.826521321	2.212861497
23/10/2012 7:18	23/10/2012 7:23	0.552524218	0.097322716	1.213557315	1.000142909	2.212488899
23/10/2012 7:23	23/10/2012 7:27	0.511237428	0.152445383	1.152486361	0.991861026	2.438352367
23/10/2012 7:27	23/10/2012 7:32	0.622492657	0.129634028	1.248320521	1.072201646	2.386081247
23/10/2012 7:32	23/10/2012 7:37	0.59362608	0.119921576	1.307727882	1.28263137	2.360446466
23/10/2012 7:37	23/10/2012 7:41	0.69999885	0.208550992	1.326560526	1.067708907	2.439311753
23/10/2012 7:41	23/10/2012 7:46	0.648310143	0.329477746	1.469459611	1.186076701	2.441600292
23/10/2012 7:46	23/10/2012 7:51	0.539730323	0.417704535	1.36632445	1.352931877	2.457244654
23/10/2012 7:51	23/10/2012 7:55	0.539965155	0.464020592	1.488338005	1.367507136	2.588477512
23/10/2012 7:55	23/10/2012 8:00	0.486380973	0.449576031	1.508944332	1.418065187	2.710897113
23/10/2012 8:00	23/10/2012 8:19	0.248475565	0.174129945	1.359227815	1.455307619	2.845924706
23/10/2012 8:19	23/10/2012 8:23	0.302822769	0.225529269	1.373754548	1.469851487	2.654923645
23/10/2012 8:23	23/10/2012 8:28	0.248935987	0.179614589	1.233863112	1.469866541	2.828630166
23/10/2012 8:28	23/10/2012 8:33	0.321995966	0.078199618	1.482801655	1.572084776	2.858879351
23/10/2012 8:33	23/10/2012 8:37	0.382174702	0.194447603	1.40445905	1.595508243	2.803485628
23/10/2012 8:37	23/10/2012 8:42	0.472883631	0.352400388	1.356241134	1.546790301	2.76685749
23/10/2012 8:42	23/10/2012 8:47	0.833587393	0.397590458	1.408384132	1.576285908	2.970275808
23/10/2012 8:47	23/10/2012 8:51	0.483364525	0.311306312	1.398523443	1.692697512	3.226382436
23/10/2012 8:51	23/10/2012 8:56	0.367597189	0.408886657	1.596407158	1.787962883	3.227038563
23/10/2012 8:56	23/10/2012 9:01	0.473949365	0.497266974	1.341050051	1.813402254	3.439837093
23/10/2012 9:01	23/10/2012 9:05	0.551330041	0.753289631	1.358895794	1.872387505	3.574578254
23/10/2012 9:05	23/10/2012 9:10	0.421126257	0.530152522	1.515392566	1.860714024	3.553609198
23/10/2012 9:10	23/10/2012 9:15	0.334293265	0.696722992	1.636533995	1.892015696	3.567630336
23/10/2012 9:15	23/10/2012 9:19	0.155646271	0.518818746	1.536519812	1.876456508	3.349644114
23/10/2012 9:19	23/10/2012 9:24	0.094076963	0.477239068	1.573288485	1.860686151	3.716375753
23/10/2012 9:24	23/10/2012 9:29	0.051788202	0.234355858	1.629198674	1.713250615	3.326570894
23/10/2012 9:29	23/10/2012 9:33	0.063010556	0.289075399	1.330155944	1.655406369	3.434528129
23/10/2012 9:33	23/10/2012 9:38	0.048385471	0.336951533	1.547208188	1.725053712	3.354817985
