Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
08/04/2016 17:42	08/04/2016 19:42	0.0610937	0.0472242	0.0533054	0.17661	0.213542
08/04/2016 17:47	08/04/2016 19:47	0.0351988	0.0537095	0.0420733	0.152839	0.193969
08/04/2016 17:52	08/04/2016 19:52	0.0410725	0.0406872	0.0456438	0.1625	0.185129
08/04/2016 17:57	08/04/2016 19:57	0.0389498	0.0412584	0.0536402	0.201449	0.194091
08/04/2016 18:02	08/04/2016 20:02	0.0292635	0.0704224	0.0584379	0.267204	0.313584
08/04/2016 18:07	08/04/2016 20:07	0.0376089	0.0468965	0.0422711	0.205474	0.202909
08/04/2016 18:12	08/04/2016 20:12	0.0407716	0.0587748	0.0538446	0.233791	0.215228
08/04/2016 18:17	08/04/2016 20:17	0.0229686	0.0722276	0.0781562	0.342909	0.354043
08/04/2016 18:22	08/04/2016 20:22	0.0279361	0.0578822	0.0521655	0.329778	0.268705
08/04/2016 18:32	08/04/2016 20:32	0.0501418	0.0384531	0.0610181	0.180186	0.186446
08/04/2016 18:37	08/04/2016 20:37	0.0271636	0.0365546	0.0456453	0.193133	0.171677
08/04/2016 18:42	08/04/2016 20:42	0.0905569	0.0787869	0.0806572	0.356926	0.342404
08/04/2016 18:47	08/04/2016 20:47	0.0285433	0.0508649	0.0475572	0.198827	0.223941
08/04/2016 18:52	08/04/2016 20:52	0.0358269	0.0665857	0.057981	0.275294	0.279041
08/04/2016 18:57	08/04/2016 20:57	0.0493401	0.083371	0.0818671	0.314564	0.334932
08/04/2016 19:02	08/04/2016 21:02	0.0576807	0.0383381	0.0486827	0.173705	0.195709
08/04/2016 19:07	08/04/2016 21:07	0.048527	0.0345241	0.0501449	0.151986	0.170774
08/04/2016 19:12	08/04/2016 21:12	0.0192895	0.0341807	0.0387517	0.1276	0.145624
08/04/2016 19:17	08/04/2016 21:17	0.038421	0.0410135	0.0379503	0.141937	0.165752
08/04/2016 19:22	08/04/2016 21:22	0.0730747	0.051925	0.084325	0.230787	0.20163
08/04/2016 19:27	08/04/2016 21:27	0.0360904	0.0446751	0.0226675	0.202311	0.19973
08/04/2016 19:32	08/04/2016 21:32	0.0407266	0.052618	0.033438	0.175974	0.198901
08/04/2016 19:37	08/04/2016 21:37	-0.000227039	0.0510765	0.0381464	0.181704	0.211247
