PMF Time (UTC)	PMF Time (Local)	HOA	BBOA	OOA1	OOA2	OOA3
08/04/2016 21:01	08/04/2016 23:01	0.029850793	0.001617191	0.034143436	0.001776854	0.349759654
08/04/2016 21:06	08/04/2016 23:06	0.034655267	0.000577948	0.022892998	0.04193576	0.295599505
08/04/2016 21:11	08/04/2016 23:11	0.035322091	0.009469169	0.018977765	0.023129558	0.287982743
08/04/2016 21:16	08/04/2016 23:16	0.020061997	9.87748E-05	0.014004285	0.069064832	0.304404779
08/04/2016 21:21	08/04/2016 23:21	0.042448449	0.000443194	0.001899991	0	0.351862406
08/04/2016 21:26	08/04/2016 23:26	0.035441228	0.002328184	0.042802288	0.029744798	0.262562586
08/04/2016 21:31	08/04/2016 23:31	0.025873849	0.001410499	0.008632754	0.024491347	0.327620761
08/04/2016 21:36	08/04/2016 23:36	0.028024884	0	0.048599141	0	0.335666073
08/04/2016 21:41	08/04/2016 23:41	0.033541466	0.000559593	0.027265208	0	0.351265293
08/04/2016 21:46	08/04/2016 23:46	0.038196947	0.000143724	0.051883691	0	0.280613112
08/04/2016 21:51	08/04/2016 23:51	0.041326934	0.012510817	0.043157128	0	0.30356625
08/04/2016 21:56	08/04/2016 23:56	0.024288786	0.014264144	0.017655831	0.038012242	0.243953516
08/04/2016 22:01	09/04/2016 0:01	0.023937946	0.000204251	0.037939389	0.009606334	0.341902904
08/04/2016 22:06	09/04/2016 0:06	0.028537716	0.000297067	0.058723207	0.048478719	0.25890134
08/04/2016 22:11	09/04/2016 0:11	0.031848979	0.00087752	0.014235802	0.017465412	0.27579621
08/04/2016 22:16	09/04/2016 0:16	0.032534088	0.00083198	0.021827051	0.003688273	0.306910368
08/04/2016 22:21	09/04/2016 0:21	0.039203183	0.004459348	0.04982008	0.00719674	0.285834279
08/04/2016 22:26	09/04/2016 0:26	0.043057133	0.000332445	0.048545287	0.00214415	0.356717878
08/04/2016 22:31	09/04/2016 0:31	0.043172413	0	0.020110852	0	0.337690258
08/04/2016 22:36	09/04/2016 0:36	0.019512881	0.022492732	0.063547822	0.024459348	0.217811966
08/04/2016 22:41	09/04/2016 0:41	0.088463291	0.010271129	0.048460863	0.112120965	0.189296249
08/04/2016 22:46	09/04/2016 0:46	0.036903298	0.004990808	0.038485219	0	0.304513345
08/04/2016 22:51	09/04/2016 0:51	0.027421343	0.000927435	0.042177748	0.041138657	0.256092909
08/04/2016 22:56	09/04/2016 0:56	0.049721085	0.02573457	0.031389716	0.096560743	0.270940738
08/04/2016 23:01	09/04/2016 1:01	0.074424279	0.002977551	0.044021085	0.014004243	0.287672759
08/04/2016 23:06	09/04/2016 1:06	0.076789018	0.023177413	0.025679573	0.041064947	0.295723785
08/04/2016 23:11	09/04/2016 1:11	0.086379681	0.007603806	0.044676195	0.035167956	0.340157277
08/04/2016 23:16	09/04/2016 1:16	0.089698801	0.001567736	0.013015478	0.027064504	0.363621818
08/04/2016 23:21	09/04/2016 1:21	0.052891212	0.014876828	0	0.223691672	0.135097816
08/04/2016 23:26	09/04/2016 1:26	0.124830472	0.014601984	0	0.010027627	0.380563828
08/04/2016 23:31	09/04/2016 1:31	0.28861414	0.026532102	0.033998586	0.093490754	0.306808945
08/04/2016 23:36	09/04/2016 1:36	0.052937924	0.001263263	0.02989122	0.133940731	0.272406379
08/04/2016 23:41	09/04/2016 1:41	0.090894027	0.001413056	0.004756648	0.10631097	0.338807345
08/04/2016 23:46	09/04/2016 1:46	0.111795124	6.94651E-05	0.02360082	0.153489468	0.301332076
08/04/2016 23:51	09/04/2016 1:51	0.078249802	0.001749113	0.044881042	0.185250737	0.282770147
08/04/2016 23:56	09/04/2016 1:56	0.055992772	0.003649146	0.031736127	0.230277057	0.298796488
09/04/2016 0:01	09/04/2016 2:01	0.06596413	0.00096702	0.056069339	0.254305856	0.189063404
09/04/2016 0:06	09/04/2016 2:06	0.09776654	0.031531995	0.032001543	0.163224696	0.338823058
09/04/2016 0:11	09/04/2016 2:11	0.095563793	0.000890794	0.006173234	0.197994386	0.281411643
09/04/2016 0:16	09/04/2016 2:16	0.075626076	0.012108752	0.034177862	0.209422386	0.198217232
09/04/2016 0:21	09/04/2016 2:21	0.088581142	0.002846843	0	0.195894491	0.294350996
09/04/2016 0:26	09/04/2016 2:26	0.076760448	0.014807545	0.041960616	0.098530788	0.41930332
09/04/2016 0:31	09/04/2016 2:31	0.092371667	0	0	0.260492689	0.282761576
09/04/2016 0:36	09/04/2016 2:36	0.071676416	0.001613705	0	0.298643639	0.299307891
09/04/2016 0:41	09/04/2016 2:41	0.046348968	0.003548708	0.026722235	0.318626925	0.214553558
09/04/2016 0:46	09/04/2016 2:46	0.07288207	0.014287	0.042415879	0.218914768	0.250190347
09/04/2016 0:51	09/04/2016 2:51	0.075079674	0.016193476	0	0.160604827	0.376452605
09/04/2016 0:56	09/04/2016 2:56	0.075730928	0.005942331	0.02197133	0.200265701	0.374125579
09/04/2016 1:01	09/04/2016 3:01	0.109776225	9.22288E-05	0.053384902	0.179938146	0.439075188
09/04/2016 1:06	09/04/2016 3:06	0.086818659	0.014205261	0.014239688	0.236168191	0.302014899
09/04/2016 1:11	09/04/2016 3:11	0.077261708	0.02691894	0	0.288289871	0.233046919
09/04/2016 1:16	09/04/2016 3:16	0.091861407	0.011840251	0.035066818	0.374044154	0.239709443
09/04/2016 1:21	09/04/2016 3:21	0.118863199	0.001467427	0.010824116	0.342751433	0.328203589
09/04/2016 1:26	09/04/2016 3:26	0.103613391	0.025452013	0.047874035	0.262926853	0.355476511
09/04/2016 1:31	09/04/2016 3:31	0.106402822	0.000212647	0.042167177	0.329433528	0.260746962
09/04/2016 1:36	09/04/2016 3:36	0.095726928	0.003355575	0.030608041	0.292689651	0.254650124
09/04/2016 1:41	09/04/2016 3:41	0.071274865	0.027233638	0.021365646	0.276220474	0.422716006
09/04/2016 1:46	09/04/2016 3:46	0.082936282	0	0.037070575	0.261746912	0.295158099
09/04/2016 1:51	09/04/2016 3:51	0.056866871	0.012249216	0.008079225	0.296118051	0.318724063
09/04/2016 1:56	09/04/2016 3:56	0.045152457	0.002031241	0.024892327	0.276287614	0.33862164
09/04/2016 2:01	09/04/2016 4:01	0.044418208	0.028507146	0	0.162971851	0.391741841
09/04/2016 2:06	09/04/2016 4:06	0.062478019	0.003049062	0.034001443	0.29172827	0.213995014
09/04/2016 2:11	09/04/2016 4:11	0.050478762	0.000777438	0.007427429	0.230615612	0.276696165
09/04/2016 2:16	09/04/2016 4:16	0.102615012	0.000323647	0.069693944	0.362754719	0.134135864
