PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
165.164	0.000359766	5.69534E-05	2.09143E-05	1.10342E-05	9.89005E-06
166.027	3.9835E-06	0.000109746	0.000167768	0.000127237	7.44589E-05
166.078	0.000326157	0.000339779	0.000868686	0.000217637	8.75755E-05
166.172	0.000130964	3.98467E-05	6.32912E-05	2.13063E-05	8.06826E-06
167.001	5.12093E-06	1.76305E-05	1.30718E-05	2.36631E-05	0
167.034	0	0.0010946	0.000169954	8.94949E-05	0
167.071	7.10886E-05	0.000319289	0.00107716	0.000100707	0
167.107	0.000228545	0.000178485	0.000405421	0.000105358	4.71407E-05
168.042	1.95455E-05	0.000174033	0.000459567	0.000142697	5.46003E-05
168.094	0.000273557	0.000266264	0.000757994	0.000141022	2.93157E-05
168.188	7.42153E-05	2.21137E-05	3.07985E-05	1.37862E-05	3.5031E-06
168.993	8.75284E-06	2.71899E-05	2.02078E-05	3.28876E-05	1.20042E-05
169.05	9.76993E-06	0.000185848	0.000435737	0.00015393	0.00010061
169.087	0	9.66191E-05	0.000234888	0.000035458	2.87611E-05
169.102	0.000605993	0.000222947	0.000406626	0.00010897	4.14918E-05
169.196	0.000146634	3.39104E-05	4.10253E-05	1.54806E-05	5.78307E-06
170	4.6071E-06	1.69792E-05	2.01747E-05	0.000022045	8.82698E-06
170.045	2.11397E-05	8.77766E-05	0.000134817	6.85364E-05	8.74187E-05
170.073	4.56633E-06	0.000107418	0.000283647	6.28218E-05	4.36059E-05
170.109	0.000271919	0.00012158	0.000243784	7.09809E-05	2.29394E-05
171.029	2.46638E-05	0.000075662	0.000118797	8.38114E-05	0.000048049
171.066	2.34578E-05	0.000143714	0.000326888	8.13796E-05	8.73152E-05
171.081	1.66421E-07	6.52583E-05	0.000118033	2.66046E-05	4.40369E-06
171.102	0	2.90319E-05	2.10372E-05	1.53704E-05	1.33336E-06
171.117	0.000577806	0.00018849	0.00034604	7.41762E-05	3.30636E-05
172.061	2.67375E-05	0.000131548	0.00023751	0.0001068	0.000111512
172.089	9.23032E-06	6.17091E-05	0.000166705	0.000020417	1.47724E-05
172.125	0.000203074	0.000084984	0.000160384	4.80113E-05	1.91895E-05
173.024	1.01576E-06	5.05959E-05	3.31402E-05	6.54515E-05	5.21335E-05
173.045	2.80678E-05	6.54966E-05	9.62459E-05	3.05499E-05	2.82858E-05
173.06	6.51996E-07	5.47733E-05	6.57014E-05	1.26968E-05	1.21449E-05
173.081	2.35286E-05	7.31447E-05	0.000120533	1.46401E-05	1.56436E-05
173.097	0	7.12749E-05	0.000126771	4.27603E-05	2.86174E-05
173.133	0.000532471	0.00015128	0.000253224	6.77949E-05	1.46066E-05
174.032	9.70883E-06	7.77738E-05	5.93605E-05	9.15379E-05	9.26999E-05
174.064	7.70289E-06	4.31797E-05	3.74454E-05	3.35147E-06	0.000013422
174.077	2.86413E-06	3.20684E-05	2.90097E-05	3.8989E-06	2.54895E-07
174.105	6.25965E-06	4.61867E-05	9.57627E-05	2.22967E-05	9.7756E-06
174.141	0.000159485	5.06763E-05	8.48022E-05	2.44358E-05	6.52068E-06
174.991	2.11474E-06	2.99483E-05	2.28189E-06	4.97255E-05	3.69803E-05
175.04	4.88163E-05	0.000143187	0.000225188	0.000142612	0.000114968
175.076	0.000129059	0.000185903	0.000512107	9.54825E-05	5.10584E-05
175.112	0	7.27428E-05	0.000157832	5.56516E-05	3.45919E-05
