PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
28/09/2013 2:27	28/09/2013 2:32	0.037152	0.047085778	0.899851111	1.029002222	0.523366667
28/09/2013 2:32	28/09/2013 2:37	0.062289333	0.0098712	0.842137778	1.054242222	0.559355556
28/09/2013 2:37	28/09/2013 2:41	0.051896667	0.037744444	0.877733333	1.008942222	0.619977778
28/09/2013 2:41	28/09/2013 2:46	0.065221778	0.039404444	0.898477778	1.0427	0.541306667
28/09/2013 2:46	28/09/2013 2:51	0.018159022	0.094935333	0.731295556	1.125068889	0.545984444
28/09/2013 2:51	28/09/2013 2:55	0.066423111	0.089090444	0.874031111	1.063626667	0.558535556
28/09/2013 2:55	28/09/2013 3:00	0.120802889	0.103629778	0.88334	1.076257778	0.528533333
28/09/2013 3:00	28/09/2013 3:05	0.041421556	0.057082667	0.899142222	1.09238	0.48494
28/09/2013 3:05	28/09/2013 3:09	0.060030889	0.107435111	0.873697778	1.002671111	0.549555556
28/09/2013 3:09	28/09/2013 3:14	0.050884222	0.099539556	0.878862222	1.030602222	0.512791111
28/09/2013 3:14	28/09/2013 3:19	0.090955333	0.064159111	0.926824444	0.94274	0.585122222
28/09/2013 3:19	28/09/2013 3:23	0.073587556	0.152576222	1.108591111	0.896395556	0.457111111
28/09/2013 3:23	28/09/2013 3:28	0.137507556	0.032063111	0.938506667	0.99182	0.548335556
28/09/2013 3:28	28/09/2013 3:33	0.066225111	0.046154222	0.904815556	0.981744444	0.499175556
28/09/2013 3:33	28/09/2013 3:37	0.069860667	0.045260444	0.914057778	1.023553333	0.497157778
28/09/2013 3:37	28/09/2013 3:42	0.051576222	0.026063556	0.852133333	1.090266667	0.546804444
28/09/2013 3:42	28/09/2013 3:47	0.062316	0.047361778	0.9368	0.974006667	0.490637778
28/09/2013 3:47	28/09/2013 3:51	0.053694444	0.061201333	0.839964444	0.9497	0.473675556
28/09/2013 3:51	28/09/2013 3:56	0.080865333	0.060369111	0.870706667	1.014124444	0.486535556
28/09/2013 3:56	28/09/2013 4:01	0.065301778	0.077621333	0.896682222	1.021395556	0.530306667
28/09/2013 4:01	28/09/2013 4:05	0.090610444	0.000589787	0.963662222	1.016413333	0.475871111
28/09/2013 4:05	28/09/2013 4:10	0.113393778	0.104475111	0.894686667	1.084306667	0.414448889
28/09/2013 4:10	28/09/2013 4:15	0.050659556	0.106097556	0.967806667	1.006295556	0.496693333
28/09/2013 4:15	28/09/2013 4:19	0.066814889	0.017551889	1.015902222	0.943784444	0.490484444
28/09/2013 4:19	28/09/2013 4:24	0.062057778	0	1.00872	1.007342222	0.530817778
28/09/2013 4:24	28/09/2013 4:29	0.06111	0.035190667	0.954728889	1.031002222	0.544255556
28/09/2013 4:29	28/09/2013 4:33	0.070659556	0.149894444	0.927313333	1.008453333	0.548491111
28/09/2013 4:33	28/09/2013 4:38	0.102013333	0.025474222	0.931013333	1.033071111	0.6047
28/09/2013 4:38	28/09/2013 4:43	0.062280444	0.046787778	0.984517778	1.033382222	0.502302222
28/09/2013 4:43	28/09/2013 4:47	0.069838444	0.074977111	0.875426667	0.903688889	0.477533333
28/09/2013 4:47	28/09/2013 4:52	0.042238222	0.052771778	0.890011111	0.875535556	0.504475556
28/09/2013 4:52	28/09/2013 4:57	0.0893	0.052003556	0.832828889	0.889613333	0.593791111
28/09/2013 4:57	28/09/2013 5:01	0.109680444	0.038031556	0.891451111	1.018682222	0.508822222
28/09/2013 5:01	28/09/2013 5:06	0.119634667	0.034736	0.90424	0.953768889	0.496913333
28/09/2013 5:06	28/09/2013 5:11	0.127513333	0.025829556	0.831942222	1.067606667	0.412255556
28/09/2013 5:11	28/09/2013 5:15	0.083519556	0.071626444	0.994468889	0.804706667	0.509331111
28/09/2013 5:15	28/09/2013 5:20	0.131542667	0.051705556	1.000077778	0.900286667	0.414184444
28/09/2013 5:20	28/09/2013 5:25	0.092354889	0.057515111	0.845617778	0.931797778	0.49412
28/09/2013 5:25	28/09/2013 5:29	0.10111	0.061792889	0.880568889	0.97236	0.47412
28/09/2013 5:29	28/09/2013 5:34	0.131084222	0.022565111	0.943004444	0.996155556	0.417442222
28/09/2013 5:34	28/09/2013 5:39	0.092290222	0.054628	1.014548889	0.951591111	0.497888889
28/09/2013 5:39	28/09/2013 5:43	0.143477111	0.003026178	0.980595556	1.058377778	0.496448889
28/09/2013 5:43	28/09/2013 5:48	0.229346667	0.079736	1.28998	0.860057778	0.455626667
28/09/2013 5:48	28/09/2013 5:53	0.078204222	0.069964222	1.050522222	0.978142222	0.528113333
28/09/2013 5:53	28/09/2013 5:57	0.120469111	0.035246	1.022484444	1.06734	0.481946667
28/09/2013 5:57	28/09/2013 6:02	0.102729778	0.044090444	0.988373333	1.087108889	0.484275556
28/09/2013 6:02	28/09/2013 6:07	0.095271778	0.007401689	1.073373333	1.017593333	0.518046667
28/09/2013 6:07	28/09/2013 6:11	0.130036222	0.072608667	1.075366667	0.981322222	0.501415556
28/09/2013 6:11	28/09/2013 6:16	0.198686667	0.069196222	1.080864444	0.930664444	0.534853333
28/09/2013 6:16	28/09/2013 6:21	0.424873333	0.094103111	1.199086667	0.91194	0.43292
28/09/2013 6:21	28/09/2013 6:25	0.256224444	0.084867778	1.026428889	0.975384444	0.464273333
28/09/2013 6:25	28/09/2013 6:30	0.206520667	0.100005333	1.088133333	0.939204444	0.483653333
28/09/2013 6:30	28/09/2013 6:35	0.155954667	0.106653778	1.102184444	0.899597778	0.531393333
