PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
132.021	7.11751E-05	5.87942E-05	0	0.000091055	0.000104328
132.057	2.41156E-05	0.00105167	0.000402437	0.000399804	0.000055034
132.094	0.000873614	0.000608933	0.000412143	0.000159476	0.000129923
133.029	1.62482E-05	0.00037036	7.34801E-05	0.000508956	0.000110621
133.065	0	0.00172228	0.00032339	0.000318892	0.000093542
133.102	0.00330277	0.0013544	0.000855307	0.000289993	0.000345373
134.037	4.14834E-05	0.000560427	0.000133641	0.000360013	0.000119781
134.073	0	0.000809985	0.000370644	0.000285096	3.09004E-05
134.109	0.000864964	0.000408305	0.000287064	8.15178E-05	0.00011907
135.045	0.000138241	0.00105046	0.000273298	0.000477069	0.000186737
135.081	0	0.000663953	0.000583302	0.000375592	0.000211401
135.117	0.00216845	0.000835386	0.000535126	0.000118485	0.000299984
136.016	1.18985E-05	0.00011151	6.64165E-06	0.000110341	0.000109298
136.052	0	0.000866122	0.000269147	0.000389182	3.87184E-05
136.089	0	0.00040022	0.000329375	0.000173436	7.48232E-05
136.125	0.000526617	0.000225808	0.000147598	1.47095E-05	7.82246E-05
137.024	0.000027884	0.000203629	7.69301E-05	0.000326607	0.000186998
137.06	0.000181718	0.00237768	0.000415532	0.000452497	2.52761E-05
137.097	0	0.000494998	0.000478357	0.000141619	0.000191989
137.133	0.00161992	0.000244997	0.000149162	0.000051808	0.00019736
138.032	2.47917E-05	0.000482735	9.84436E-05	0.000302674	0.00010536
138.068	2.64208E-05	0.00106939	0.00028169	0.000287455	0
138.105	0	8.78546E-05	0.000165755	4.37268E-06	0.000109098
138.141	0.000431214	0.000137222	3.66984E-05	0	9.40461E-05
139.04	0.000101856	0.0011157	0.000505769	0.000814089	5.40138E-05
139.076	0.000271329	0.00133518	0.000729727	0.000651215	0.000040814
139.112	0	0	7.25917E-05	0	4.64433E-05
139.149	0.000463644	0.0001458	0.000030087	2.49252E-05	0.000049989
140.011	0	0	0	5.29432E-06	4.39198E-05
140.047	5.12534E-05	0.000668172	0.000249756	0.000428234	0
140.084	5.71672E-05	0.000525482	0.000259502	0.000185388	3.24157E-05
140.12	0	0	1.75581E-05	0	9.99891E-06
140.156	0.000192915	4.91413E-05	0.000006815	8.15198E-06	1.51089E-05
141.019	0.000203282	0.000172822	0.000177948	0.000277372	0.000441142
141.055	0	0	1.49292E-05	5.36237E-06	0
141.07	0.00113821	0.00204072	0.000108204	0.000707245	0.000050915
141.092	0.000309692	0.000594114	0.000650168	0	0.00017445
141.164	0.000351491	4.25299E-05	4.53261E-05	1.18825E-05	3.89239E-05
142.042	0	0.00026186	0	0.000205413	7.04607E-05
142.078	0.000765146	0.00112788	0.000095144	0.000270207	0
142.099	0.000124568	0.000190813	0.000114391	0	1.27498E-05
142.136	4.05685E-07	4.94766E-06	8.05085E-06	0	3.05436E-06
142.172	2.11762E-05	6.02238E-06	0	0	4.27472E-06
143.034	3.26991E-05	0.000216636	0	0.000146315	5.42573E-05
143.05	0	0.000138652	0	9.17525E-05	4.99579E-05
143.086	0.00128593	0.00122413	0.000381322	0.000366138	6.24011E-05
143.107	0.000307025	0.000264377	0.000164673	0	0
144.021	0	2.59364E-05	0	2.41677E-05	4.43076E-05
144.057	0	0.000762818	0.00024735	0.000284177	1.90435E-05
144.094	0.000571443	0.000709218	0.000258539	0.000122802	2.32738E-05
144.115	0.000016375	1.34736E-06	1.18942E-05	0	3.54182E-06
145.029	0.0000205	0.000158485	0	0.000145276	7.35093E-05
145.065	0	0.00118114	0.000489356	0.000389322	5.30407E-05
145.102	0.00159076	0.00116715	0.000398116	0.000179222	0.000133812
145.123	0.000289147	7.93031E-05	2.41865E-05	0	0
146.037	2.93652E-05	0.000351563	4.81264E-05	0.000253009	0.000103395
146.073	0	0.000787353	0.000336294	0.000276493	9.34348E-06
146.109	0.000512385	0.000353547	0.000202141	3.44404E-05	6.01682E-05
147.045	0.000209295	0.00104291	0.000159469	0.000452697	0.000231114
147.081	0	0.000899195	0.00046065	0.000303563	0.000223598
147.117	0.00135674	0.000641412	0.000373962	7.11132E-05	0.000149476
148.016	0.000070452	4.43652E-05	0	0.000163633	0.000111052
148.052	9.72343E-05	0.000778493	0.000151618	0.000338468	4.70316E-05
148.089	0	0.000413006	0.000233503	9.87984E-05	0.000083004
148.125	0.000379397	0.000199964	0.00010267	2.20532E-05	3.02941E-05
149.045	0	0.00163529	0.000339843	0.000431981	4.17931E-05
149.097	0.00047482	0.000715198	0.000569536	0.000194991	0.000293931
150.032	0.000306706	0.000448243	2.75263E-05	0.000305582	7.25402E-05
150.068	0	0.0011162	0.000212619	0.000212938	0
150.105	0.000174227	0.000149867	0.000202833	3.68197E-05	9.20598E-05
151.04	4.46245E-06	0.00042847	0.000108044	0.000241677	0.000223187
151.055	7.39098E-06	0.000189504	0	0	0
151.076	1.44344E-05	0.00104573	0.000366764	0.000232464	0.000154958
151.112	0	0.000154247	0.000187703	8.00328E-06	7.77015E-05
151.149	0.000698278	0.000115819	5.69316E-06	5.12374E-06	9.15887E-05
152.063	0.000734673	0.00223543	0	6.90667E-05	0
152.084	0	0.000808968	0.000326047	3.80218E-05	0.000053196
152.12	0.000102954	6.28747E-05	0.00009593	0	2.54465E-05
153.055	0.0002618	0.0013092	0.000326418	0.000522867	0
153.092	0.000468678	0.00114318	0.000638137	0.000264421	0.000139163
153.164	0.000209454	2.10797E-05	5.96016E-05	1.32715E-06	5.10032E-05
154.027	0	0.000158244	1.14852E-05	0.000121613	6.29232E-05
154.063	0	8.34892E-06	0	1.37941E-05	2.54505E-06
154.078	0.000440642	0.00118003	0.000461252	0.000185338	0.000034393
154.172	0.000101496	3.79954E-05	3.83919E-05	7.5641E-06	2.10449E-05
155.034	0	0.000373904	8.94791E-05	0.000357874	5.80907E-05
155.086	0.000973152	0.00137676	0.000736866	0.000445652	3.31854E-05
155.18	0.000233165	4.51012E-05	6.77861E-05	0	3.70468E-05
156.042	0	0.000268877	5.85458E-05	0.000166071	3.23696E-05
156.079	0	9.13682E-05	0	2.11769E-05	8.18375E-07
