PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2	OOA3
14/05/2014 0:05	14/05/2014 2:05	0.16203669	0.3473922	0.04488335	0.672235	0	0.4861575
14/05/2014 0:10	14/05/2014 2:10	0.19647087	0.24343091	0.005694266	0.6892416	0	0.5349856
14/05/2014 0:14	14/05/2014 2:14	0.11710405	0.14796796	0.028024775	0.7559908	0	0.4772326
14/05/2014 0:19	14/05/2014 2:19	0.1841741	0.20403704	0.03612926	0.652519	0.08765002	0.5063385
14/05/2014 0:24	14/05/2014 2:24	0.24449328	0.26599767	0.001459285	0.6673463	0.006126933	0.5003214
14/05/2014 0:28	14/05/2014 2:28	0.26978804	0.17728063	0.04089365	0.7331345	0.01093463	0.4599377
14/05/2014 0:33	14/05/2014 2:33	0.22728766	0.18952625	0.03935884	0.6338725	0.005055635	0.6170178
14/05/2014 0:38	14/05/2014 2:38	0.16346331	0.1440694	0.0343077	0.6584803	0	0.5623462
14/05/2014 0:42	14/05/2014 2:42	0.1476375	0.23191782	0.04227222	0.5972925	0.007960242	0.6433337
14/05/2014 0:47	14/05/2014 2:47	0.17624058	0.17697404	0.05163391	0.6697798	0	0.5765783
14/05/2014 0:52	14/05/2014 2:52	0.22564032	0.3370692	0.03404296	0.6086044	0	0.6869631
14/05/2014 0:56	14/05/2014 2:56	0.350424	0.28895627	0.029479853	0.6437646	0	0.669228
14/05/2014 1:01	14/05/2014 3:01	0.4063449	0.1883343	0.07687256	0.6278709	0.014668177	0.6066049
14/05/2014 1:06	14/05/2014 3:06	0.29476071	0.27192456	0.021697148	0.5593609	0	0.6484084
14/05/2014 1:10	14/05/2014 3:10	0.290460563	0.226319395	0.045125637	0.606910092	0	0.587537029
14/05/2014 1:15	14/05/2014 3:15	0.305922225	0.21255768	0.01196926	0.568437519	0.026439713	0.630985885
14/05/2014 1:20	14/05/2014 3:20	0.3846201	0.19037782	0.04250782	0.5185835	0.05763644	0.6163885
14/05/2014 1:24	14/05/2014 3:24	0.3337925	0.23047012	0.03215537	0.56947	0.0289726	0.582645
