PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
16/02/2014 3:02	16/02/2014 3:07	0.392379138	2.034465313	0.223417273	2.345658882	1.106201379
16/02/2014 3:07	16/02/2014 3:12	0.360321213	2.034985007	0.341278876	1.788275817	1.656306357
16/02/2014 3:12	16/02/2014 3:16	0.408241385	2.090725118	0.271858424	2.391142691	1.19801247
16/02/2014 3:16	16/02/2014 3:21	0.432729712	2.019107876	0.442748411	2.145739768	1.296319247
16/02/2014 3:21	16/02/2014 3:26	0.385833551	2.231121949	0.230802402	1.600958018	1.66922614
16/02/2014 3:26	16/02/2014 3:30	0.584046695	2.282753329	0.465329199	1.798981979	1.437006817
16/02/2014 3:30	16/02/2014 3:35	0.496770497	2.12134611	0.310044813	1.956270258	1.594613048
16/02/2014 3:35	16/02/2014 3:40	0.43793376	2.117165499	0.507660366	2.525388619	0.708101482
16/02/2014 3:40	16/02/2014 3:44	0.350838029	2.15448169	0.514562969	1.741687544	1.477954401
16/02/2014 3:44	16/02/2014 3:49	0.43080332	2.151424887	0.467956496	2.171360776	1.043283513
16/02/2014 3:49	16/02/2014 3:54	0.451185048	2.303855851	0.388992265	1.694440563	1.328899989
16/02/2014 3:54	16/02/2014 3:58	0.441941105	2.262830435	0.506041419	1.701426898	1.302870392
16/02/2014 3:58	16/02/2014 4:03	0.456337323	2.280335242	0.541432198	2.010638654	0.885599366
16/02/2014 4:03	16/02/2014 4:08	0.587664984	2.123537988	0.384578285	1.571559776	1.57482284
16/02/2014 4:08	16/02/2014 4:12	0.431799776	2.266461712	0.421508129	1.646679392	1.355694627
16/02/2014 4:12	16/02/2014 4:17	0.447089037	2.304735642	0.485861893	1.43892849	1.341990037
16/02/2014 4:17	16/02/2014 4:22	0.504970921	2.142004715	0.406043846	2.097078236	0.87545532
16/02/2014 4:22	16/02/2014 4:26	0.438537506	2.08472795	0.406112974	1.839870736	1.237225043
16/02/2014 4:26	16/02/2014 4:31	0.438694961	2.201138625	0.269393085	1.656991719	1.380536578
16/02/2014 4:31	16/02/2014 4:36	0.570742287	2.459940658	0.358982547	1.105934407	1.554280042
16/02/2014 4:36	16/02/2014 4:40	0.572056647	2.018719672	0.488844032	1.754953415	1.257078851
16/02/2014 4:40	16/02/2014 4:45	0.459129918	2.075071412	0.322057346	1.486685291	1.653825415
16/02/2014 4:45	16/02/2014 4:49	0.487556145	2.317486172	0.396659836	1.353093309	1.402358432
16/02/2014 4:49	16/02/2014 4:54	0.472885495	2.141335866	0.207655823	1.357225258	1.676494284
16/02/2014 4:54	16/02/2014 4:59	0.502663534	2.073435085	0.542286464	2.009491352	0.822810757
16/02/2014 4:59	16/02/2014 5:04	0.530457774	2.161760484	0.367107119	2.057378678	0.706504558
16/02/2014 5:04	16/02/2014 5:08	0.631652316	2.477294246	0.310052848	1.80051527	0.966556813
16/02/2014 5:08	16/02/2014 5:13	0.538862806	2.034337937	0.408253324	1.721126447	1.149700561
16/02/2014 5:13	16/02/2014 5:18	0.483757449	2.060750767	0.345795875	1.99885367	1.048412804
16/02/2014 5:18	16/02/2014 5:22	0.568187326	1.896587644	0.302027965	2.034841089	1.201484153
16/02/2014 5:22	16/02/2014 5:27	0.453877964	2.152560147	0.320297384	1.449386259	1.626657039
16/02/2014 5:27	16/02/2014 5:32	0.528263469	2.11274269	0.527876461	1.835415544	1.200280858
16/02/2014 5:32	16/02/2014 5:36	0.433365992	2.059565498	0.468268664	1.730898147	1.391700302
16/02/2014 5:36	16/02/2014 5:41	0.557691765	2.086559597	0.363553128	1.531838805	1.560223756
16/02/2014 5:41	16/02/2014 5:46	0.590903574	1.508386625	0.499105458	2.453109459	1.174534168
16/02/2014 5:46	16/02/2014 5:50	0.409278236	2.119336483	0.306861	1.966842902	1.09452961
16/02/2014 5:50	16/02/2014 5:55	0.575093746	2.103727055	0.443007743	2.135434928	1.006026493
16/02/2014 5:55	16/02/2014 6:00	0.392758086	2.15732175	0.306247825	1.383783345	1.585985044
16/02/2014 6:00	16/02/2014 6:04	0.332347272	2.169006684	0.47659257	1.44345251	1.319026893
16/02/2014 6:04	16/02/2014 6:09	0.339529186	1.686858756	0.375378388	2.106398486	1.208768066
16/02/2014 6:09	16/02/2014 6:14	0.310820404	1.936210361	0.388449718	1.653305947	1.576095783
16/02/2014 6:14	16/02/2014 6:18	0.419725657	1.96702464	0.226996763	1.957972397	1.443374369
16/02/2014 6:18	16/02/2014 6:23	0.272926834	1.973759655	0.099921713	2.215891387	1.272070371
16/02/2014 6:23	16/02/2014 6:28	0.245258392	1.801654834	0.091051477	2.570950718	1.155126863
