PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq
18/11/2011 2:32	18/11/2011 2:37	3.542107237	7.201195842	2.24841E-07	1.40056E-07
18/11/2011 2:37	18/11/2011 2:41	3.82831782	7.182089091	1.39387E-07	1.12835E-07
18/11/2011 2:41	18/11/2011 2:46	3.894993675	7.131044536	1.42833E-07	1.12578E-07
18/11/2011 2:46	18/11/2011 2:51	3.759413869	7.121802603	4.03078E-07	1.98618E-07
18/11/2011 2:51	18/11/2011 2:55	3.740889779	7.273334223	1.18469E-07	1.07951E-07
18/11/2011 2:55	18/11/2011 3:00	3.810816376	7.390713499	3.28896E-07	3.25275E-07
18/11/2011 3:00	18/11/2011 3:05	4.051207768	6.888557186	2.2152E-07	2.31913E-07
18/11/2011 3:05	18/11/2011 3:09	4.02212588	7.19021117	1.68639E-07	1.40137E-07
18/11/2011 3:09	18/11/2011 3:14	3.911593127	6.958369584	1.29479E-07	1.19092E-07
18/11/2011 3:14	18/11/2011 3:19	3.917608174	6.921865291	3.11177E-07	2.26359E-07
18/11/2011 3:19	18/11/2011 3:23	3.878872096	6.934877226	2.01146E-07	1.72787E-07
18/11/2011 3:23	18/11/2011 3:28	3.50637659	7.078675536	3.45436E-07	1.35534E-07
18/11/2011 3:28	18/11/2011 3:33	3.955564037	6.71452954	0.018138732	2.64868E-06
18/11/2011 3:33	18/11/2011 3:37	3.63263661	6.856083712	4.60607E-07	1.86183E-07
18/11/2011 3:37	18/11/2011 3:42	3.666389106	6.766862621	8.80011E-07	7.7868E-07
18/11/2011 3:42	18/11/2011 3:47	3.683775507	6.717444391	7.00407E-07	2.62628E-07
18/11/2011 3:47	18/11/2011 3:51	3.832222608	6.85260416	3.33985E-07	1.80454E-07
18/11/2011 3:51	18/11/2011 3:56	3.664966402	6.858436915	0.085400757	5.04606E-07
18/11/2011 3:56	18/11/2011 4:01	3.636099111	6.932969529	1.14263E-06	4.19716E-07
18/11/2011 4:01	18/11/2011 4:05	3.596955421	6.738261991	0.039740354	4.60676E-07
